[2025-11-09T06:20:26.445Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762669226444 resume=false
[2025-11-09T06:20:27.583Z] JOB_START MSFT
[2025-11-09T06:27:45.074Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:46.574Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:48.074Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:49.588Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:51.089Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:52.590Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:54.090Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:55.590Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:57.106Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:27:58.607Z] USAGE cpu=0% rssMb=130.2
[2025-11-09T06:28:00.107Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:01.607Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:03.107Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:04.607Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:06.107Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:07.607Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:09.121Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:10.622Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:12.123Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:13.639Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:15.140Z] USAGE cpu=0% rssMb=130.3
[2025-11-09T06:28:16.640Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:18.140Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:19.640Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:21.140Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:22.640Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:24.156Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:25.657Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:27.150Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:28.664Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:30.165Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:31.666Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:33.166Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:34.682Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:36.182Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:37.683Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:39.183Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:40.699Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:42.200Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:43.700Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:45.200Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:46.716Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:48.216Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:49.732Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:51.233Z] USAGE cpu=0% rssMb=130.4
[2025-11-09T06:28:52.733Z] USAGE cpu=0% rssMb=130.4
