[2025-11-16T06:22:20.224Z] RUN_START symbols=1 from=2025-01-01 to=2025-01-02 interval=day mode=mock runId=run-1763274140224 resume=false
[2025-11-16T06:22:21.381Z] JOB_START A
[2025-11-16T06:27:26.354Z] USAGE cpu=0.5% rssMb=235.3
[2025-11-16T06:27:27.855Z] USAGE cpu=0.5% rssMb=235.3
[2025-11-16T06:27:29.364Z] USAGE cpu=0.5% rssMb=235.3
[2025-11-16T06:27:30.870Z] USAGE cpu=0.4% rssMb=235.9
[2025-11-16T06:27:32.372Z] USAGE cpu=0.6% rssMb=233.5
[2025-11-16T06:27:33.880Z] USAGE cpu=0.6% rssMb=233.5
[2025-11-16T06:27:35.384Z] USAGE cpu=0.5% rssMb=233.5
[2025-11-16T06:27:36.885Z] USAGE cpu=0.5% rssMb=233.5
[2025-11-16T06:27:38.396Z] USAGE cpu=0.3% rssMb=233.5
[2025-11-16T06:27:39.903Z] USAGE cpu=0% rssMb=233.8
[2025-11-16T06:27:41.407Z] USAGE cpu=0% rssMb=233.8
[2025-11-16T06:27:42.920Z] USAGE cpu=0% rssMb=233.8
[2025-11-16T06:27:44.423Z] USAGE cpu=0% rssMb=233.8
[2025-11-16T06:27:45.926Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:47.441Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:48.954Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:50.456Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:51.971Z] USAGE cpu=0.1% rssMb=233.9
[2025-11-16T06:27:53.473Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:54.984Z] USAGE cpu=0% rssMb=233.9
[2025-11-16T06:27:56.490Z] USAGE cpu=0.1% rssMb=234.1
[2025-11-16T06:27:58.004Z] USAGE cpu=0.1% rssMb=234.1
[2025-11-16T06:27:59.519Z] USAGE cpu=0% rssMb=234.1
[2025-11-16T06:28:01.021Z] USAGE cpu=0.1% rssMb=234.1
[2025-11-16T06:28:02.521Z] USAGE cpu=0% rssMb=234.1
[2025-11-16T06:28:04.037Z] USAGE cpu=0% rssMb=234.1
[2025-11-16T06:28:05.537Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:07.052Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:08.567Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:10.071Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:11.585Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:13.087Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:14.599Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:16.104Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:17.604Z] USAGE cpu=0% rssMb=234.3
[2025-11-16T06:28:19.150Z] USAGE cpu=0.2% rssMb=234.8
[2025-11-16T06:28:20.653Z] USAGE cpu=0.4% rssMb=235.4
[2025-11-16T06:28:23.758Z] USAGE cpu=1.3% rssMb=247.0
[2025-11-16T06:28:25.269Z] USAGE cpu=1.8% rssMb=242.4
[2025-11-16T06:28:26.780Z] USAGE cpu=1.9% rssMb=244.3
[2025-11-16T06:28:28.286Z] USAGE cpu=1.8% rssMb=244.3
[2025-11-16T06:28:29.789Z] USAGE cpu=1.6% rssMb=244.3
[2025-11-16T06:28:31.296Z] USAGE cpu=0.7% rssMb=244.3
[2025-11-16T06:28:32.805Z] USAGE cpu=0.2% rssMb=244.4
[2025-11-16T06:28:34.305Z] USAGE cpu=0.5% rssMb=191.5
[2025-11-16T06:28:35.818Z] USAGE cpu=0.5% rssMb=191.6
[2025-11-16T06:28:37.318Z] USAGE cpu=0.5% rssMb=192.3
[2025-11-16T06:28:38.821Z] USAGE cpu=0.5% rssMb=192.6
[2025-11-16T06:28:40.322Z] USAGE cpu=0.5% rssMb=193.0
[2025-11-16T06:28:41.831Z] USAGE cpu=0.1% rssMb=193.1
[2025-11-16T06:28:43.336Z] USAGE cpu=0.1% rssMb=191.4
[2025-11-16T06:28:44.837Z] USAGE cpu=0% rssMb=191.5
[2025-11-16T06:28:46.337Z] USAGE cpu=0% rssMb=192.6
[2025-11-16T06:28:47.838Z] USAGE cpu=0.1% rssMb=192.8
[2025-11-16T06:28:49.353Z] USAGE cpu=0.1% rssMb=192.8
[2025-11-16T06:28:50.854Z] USAGE cpu=0.7% rssMb=216.0
[2025-11-16T06:28:52.354Z] USAGE cpu=0.7% rssMb=222.3
[2025-11-16T06:28:53.854Z] USAGE cpu=0.8% rssMb=222.3
[2025-11-16T06:28:55.355Z] USAGE cpu=0.8% rssMb=227.7
[2025-11-16T06:28:56.855Z] USAGE cpu=0.8% rssMb=227.7
[2025-11-16T06:28:58.354Z] USAGE cpu=0.2% rssMb=227.7
[2025-11-16T06:28:59.854Z] USAGE cpu=0.5% rssMb=200.3
[2025-11-16T06:29:01.354Z] USAGE cpu=0.5% rssMb=200.3
[2025-11-16T06:29:02.870Z] USAGE cpu=0.5% rssMb=200.3
[2025-11-16T06:29:04.371Z] USAGE cpu=0.5% rssMb=200.4
[2025-11-16T06:29:05.871Z] USAGE cpu=0.5% rssMb=200.4
[2025-11-16T06:29:07.372Z] USAGE cpu=0.1% rssMb=200.4
[2025-11-16T06:29:08.901Z] USAGE cpu=0.2% rssMb=199.3
[2025-11-16T06:29:10.404Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:11.921Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:13.421Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:14.921Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:16.424Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:17.923Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:19.424Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:20.925Z] USAGE cpu=0.1% rssMb=199.4
[2025-11-16T06:29:22.437Z] USAGE cpu=0.1% rssMb=199.6
[2025-11-16T06:29:23.936Z] USAGE cpu=0.7% rssMb=227.3
[2025-11-16T06:29:25.437Z] USAGE cpu=0.7% rssMb=227.3
[2025-11-16T06:29:26.951Z] USAGE cpu=0.8% rssMb=232.4
[2025-11-16T06:29:28.453Z] USAGE cpu=0.9% rssMb=235.1
[2025-11-16T06:29:29.954Z] USAGE cpu=0.9% rssMb=235.2
[2025-11-16T06:29:31.546Z] USAGE cpu=1.5% rssMb=249.4
[2025-11-16T06:29:33.116Z] USAGE cpu=3.1% rssMb=257.0
[2025-11-16T06:29:34.721Z] USAGE cpu=4.5% rssMb=267.5
[2025-11-16T06:29:36.227Z] USAGE cpu=5.6% rssMb=297.5
[2025-11-16T06:29:37.804Z] USAGE cpu=6.9% rssMb=335.7
