[2025-11-09T06:37:29.058Z] RUN_START symbols=1 from=2025-09-01 to=2025-09-05 interval=day mode=mock runId=run-1762670249058 resume=false
[2025-11-09T06:37:30.275Z] JOB_START AAPL
[2025-11-09T06:45:38.938Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:40.450Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:41.967Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:43.468Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:44.969Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:46.483Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:47.987Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:49.488Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:51.001Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:52.516Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:54.022Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:55.521Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:57.035Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:45:58.539Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:00.049Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:01.565Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:03.082Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:04.582Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:06.083Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:07.586Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:09.089Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:10.603Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:12.112Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:13.618Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:15.120Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:16.635Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:18.137Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:19.648Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:21.156Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:22.664Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:24.169Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:25.670Z] USAGE cpu=0% rssMb=120.8
[2025-11-09T06:46:27.170Z] USAGE cpu=0% rssMb=120.9
[2025-11-09T06:46:28.679Z] USAGE cpu=0% rssMb=120.9
[2025-11-09T06:46:30.174Z] USAGE cpu=0% rssMb=120.9
[2025-11-09T06:46:31.674Z] USAGE cpu=0% rssMb=120.9
[2025-11-09T06:46:33.183Z] USAGE cpu=0% rssMb=120.9
[2025-11-09T06:46:34.692Z] USAGE cpu=0% rssMb=120.9
[2025-11-09T06:46:36.198Z] USAGE cpu=0% rssMb=120.9
[2025-11-09T06:46:37.701Z] USAGE cpu=0% rssMb=120.9
